Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type,Category
すり,すり,Noun,[1],扒手,-,職稱
レジ,レジ,Noun,[1],收銀機/收銀員,-,職稱
お宅,おたく,Noun,[0],府上/您家,-,職稱
家内,かない,Noun,[1],內人/妻子/太太,-,職稱
市民,しみん,Noun,[1],市民,-,職稱
彼ら,かれら,Noun,[1],他們,-,職稱
主人,しゅじん,Noun,[1],外子/丈夫/先生,-,職稱
泥棒,どろぼう,Noun,[0],小偷,-,職稱
国民,こくみん,Noun,[0],國民,-,職稱
お客,おきゃく,Noun,[0],客人,-,職稱
店員,てんいん,Noun,[0],店員,-,職稱
課長,かちょう,Noun,[0],課長,-,職稱
部長,ぶちょう,Noun,[0],部門總經理,-,職稱
社長,しゃちょう,Noun,[0],總裁/老闆,-,職稱
両方,りょうほう,Noun,[3],雙方,-,職稱
運転手,うんてんしゅ,Noun,[3],司機,-,職稱
看護師,かんごし,Noun,[3],護士(不分男女),-,職稱
歯医者,はいしゃ,Noun,[1],牙醫,-,職稱
赤ん坊,あかんぼう,Noun,[0],嬰兒,-,職稱
赤ちゃん,あかちゃん,Noun,[1],嬰兒,-,職稱
お嬢さん,おじょうさん,Noun,[2],令千金/小姐,-,職稱
お金持ち,おかねもち,Noun,[4],富翁/有錢人,-,職稱
Announcer,アナウンサー,Noun,[3],廣播員,-,職稱
一度,いちど,Noun,[3],一次,-,數字與時間
一回,いっかい,Noun,[3],一次,-,數字與時間
一杯,いっぱい,Noun,[1],一杯,-,數字與時間
明日,あす,Noun,[2],明天,-,數字與時間
今度,こんど,Noun,[1],這次/下次,-,數字與時間
今回,こんかい,Noun,[1],這次,-,數字與時間
今夜,こんや,Noun,[1],今晚,-,數字與時間
最近,さいきん,Noun,[0],最近,-,數字與時間
最初,さいしょ,Noun,[0],最初/首次,-,數字與時間
最後,さいご,Noun,[1],最後,-,數字與時間
正月,しょうがつ,Noun,[4],正月,-,數字與時間
時代,じだい,Noun,[0],時代,-,數字與時間
昼間,ひるま,Noun,[3],白天,-,數字與時間
歴史,れきし,Noun,[0],歷史,-,數字與時間
昔,むかし,Noun,[0],從前/以前,-,數字與時間
久しぶり,ひさしぶり,Noun,[0],久/久違,-,數字與時間
