Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type
Party,パーティー,Noun,1,派對,-
Badminton,バドミントン,Noun,3,羽球,-
春,はる,Noun,1,春,-
夏,なつ,Noun,2,夏,-
秋,あき,Noun,1,秋,-
冬,ふゆ,Noun,2,冬,-
一昨日,おととい,Noun,0,前天,-
昨日,きのう,Noun,2,昨天,-
今日,きょう,Noun,1,今天,-
明日,あした,Noun,3,明天,-
明後日,あさって,Noun,2,後天,-
朝,あさ,Noun,1,早上,-
昼,ひる,Noun,2,白天,-
夜,よる,Noun,1,晚上,-
午前,ごぜん,Noun,1,上午,-
午後,ごご,Noun,1,下午,-
夕方,ゆうがた,Noun,0,傍晚,-
今朝,けさ,Noun,1,今天早上,-
今晩,こんばん,Noun,1,今天晚上,-
夕べ,ゆうべ,Noun,3,傍晚、(或昨晚),-
昨夜,さくや,Noun,1,昨天晚上,-
先週,せんしゅう,Noun,0,上禮拜,-
今週,こんしゅう,Noun,0,這禮拜,-
来週,らいしゅう,Noun,0,下禮拜,-
再来週,さらいしゅう,Noun,0,下下周,-
先月,せんげつ,Noun,1,上個月,-
今月,こんげつ,Noun,0,這個月,-
来月,らいげつ,Noun,1,下個月,-
再来月,さらいげつ,Noun,0,下下月,-
年,とし,Noun,2,年,-
一昨年,おととし,Noun,2,前年,-
去年,きょねん,Noun,1,去年,-
今年,ことし,Noun,0,今年,-
来年,らいねん,Noun,0,明年,-
再来年,さらいねん,Noun,0,後年,-
毎朝,まいあさ,Noun,1,每天早上,-
毎晩,まいばん,Noun,1,每天晚上,-
毎日,まいにち,Noun,1,每天,-
毎週,まいしゅう,Noun,0,每周,-
毎月,まいつき,Noun,0,每月,-
毎年,まいとし,Noun,0,每年,-
時々,ときどき,Noun,2,有時候,-
今,いま,Noun,1,現在、剛才,-
次,つぎ,Noun,2,其次、下個,-
先,さき,Noun,0,先、前、未來,-
後,あと,Noun,1,之後、後面,-
いつ,いつ,Noun,1,什麼時候,-
自分,じぶん,Noun,0,自己,-
自己,じこ,Noun,1,自己,-
皆,みんな,Noun,3,大家,-
皆さん,みなさん,Noun,2,大家,-
大人,おとな,Noun,0,大人,-
子供,こども,Noun,0,小孩,-
男,おとこ,Noun,3,男人,-
男性,だんせい,Noun,0,男姓,-
女,おんな,Noun,3,女人,-
女性,じょせい,Noun,0,女性,-
男の子,おとこのこ,Noun,3,男孩子,-
女の子,おんなのこ,Noun,3,女孩子,-
動物,どうぶつ,Noun,0,動物,-
Pet,ペット,Noun,1,寵物(pet),-
兎,うさぎ,Noun,0,兔子,-
亀,かめ,Noun,1,烏龜,-
鳥,とり,Noun,0,鳥,-
魚,さかな,Noun,0,魚,-
猫,ねこ,Noun,1,貓,-
犬,いぬ,Noun,2,狗,-
ワンちゃん,ワンちゃん,Noun,1,狗,-
色,いろ,Noun,2,顏色,-
赤,あか,Noun,1,紅,-
青,あお,Noun,1,青/藍/綠,-
緑,みどり,Noun,1,綠,-
黒,くろ,Noun,1,黑,-
白,しろ,Noun,1,白,-
黄色,きいろ,Noun,0,黃,-
茶色,ちゃいろ,Noun,0,褐色,-
Gram,グラム,Noun,1,公克(gram),-
Metre,メートル,Noun,0,公尺(metre),-
Kilogram,キログラム,Noun,3,公斤(kilogram),-
Kilometre,キロメートル,Noun,3,公里(kilometre),-
番号,ばんごう,Noun,3,號碼,-
意味,いみ,Noun,1,意思,-
お金,おかね,Noun,0,錢,-
財布,さいふ,Noun,0,錢包,-
花瓶,かびん,Noun,0,花瓶,-
石鹸,せっけん,Noun,0,肥皂,-
時計,とけい,Noun,0,時鐘/手錶,-
灰皿,はいざら,Noun,0,菸灰缸,-
鍵,かぎ,Noun,2,鑰匙,-
傘,かさ,Noun,1,雨傘,-
箱,はこ,Noun,0,箱子,-
ゴミ箱,ゴミばこ,Noun,0,垃圾桶,-
matches,マッチ,Noun,1,火柴,-
Calendar,カレンダー,Noun,2,日曆,-
帽子,ぼうし,Noun,0,帽子,-
眼鏡,めがね,Noun,1,眼鏡,-
鞄,かばん,Noun,0,包包/書包/公事包,-
Necktie,ネクタイ,Noun,1,領帶,-
handkerchief,ハンカチ,Noun,0,手帕,-
箸,はし,Noun,1,筷子,-
茶碗,ちゃわん,Noun,0,飯碗,-
お皿,おさら,Noun,0,碗盤、盤子,-
Knife,ナイフ,Noun,1,小刀子,-
Fork,フォーク,Noun,1,叉子,-
Spoon,スプーン,Noun,2,湯匙,-
Kop (Glass Cup),コップ,Noun,0,玻璃杯(kop),-
Cup,カップ,Noun,1,杯子/獎盃(cup),-
机,つくえ,Noun,0,桌子/書桌/辦公桌,-
Table,テーブル,Noun,0,桌子/圓桌/方桌(table),-
椅子,いす,Noun,0,椅子,-
Bed,ベッド,Noun,1,床(bed),-
床,とこ,Noun,0,(鋪)床,-
床,ゆか,Noun,0,地板,-
たばこ,たばこ,Noun,0,香菸,-
薬,くすり,Noun,0,藥,-
夏休み,なつやすみ,Noun,3,暑假,-
冬休み,ふゆやすみ,Noun,3,寒假,-
言葉,ことば,Noun,3,詞彙、話語,-
質問,しつもん,Noun,0,提問/問題,-
問題,もんだい,Noun,0,問題,-
文章,ぶんしょう,Noun,1,文章,-
文,ぶん,Noun,1,文句/句子,-
Test,テスト,Noun,1,測驗,-
試験,しけん,Noun,1,考試/試驗,-
作文,さくぶん,Noun,0,作文,-
宿題,しゅくだい,Noun,0,作業,-
漢字,かんじ,Noun,0,漢字,-
平仮名,ひらがな,Noun,3,平假名,-
片仮名,かたかな,Noun,3,片假名,-
日本語,にほんご,Noun,0,日文,-
中国語,ちゅうごくご,Noun,0,中文,-
台湾語,たいわんご,Noun,0,台語,-
英語,えいご,Noun,0,英文,-
留学,りゅうがく,Noun,0,留學,-
留学生,りゅうがくせい,Noun,3,留學生,-
大学,だいがく,Noun,0,大學,-
高校,こうこう,Noun,0,高中,-
中学校,ちゅうがっこう,Noun,3,國中/中學,-
小学校,しょうがっこう,Noun,3,國小/小學,-
教室,きょうしつ,Noun,0,教室,-
Class,クラス,Noun,1,班級,-
先生,せんせい,Noun,3,老師,-
教師,きょうし,Noun,1,教師,-
学生,がくせい,Noun,0,學生,-
生徒,せいと,Noun,1,學生,-
元気,げんき,Noun,1,精神/朝氣,-
風邪,かぜ,Noun,0,感冒,-
病気,びょうき,Noun,0,生病/疾病,-
仕事,しごと,Noun,0,工作,-
名前,なまえ,Noun,0,名字/姓名,-
誕生日,たんじょうび,Noun,3,生日,-
使い方,つかいかた,Noun,0,使用方法,-
